start_time,end_time,instrument,note,start_beat,end_beat,note_value
93662,110558,43,51,2.5,0.5,Eighth
110558,123870,43,51,3.0,0.5,Eighth
123870,137182,43,46,3.5,0.5,Eighth
137182,147422,43,48,4.0,0.5,Eighth
147422,164318,43,44,4.5,0.5,Eighth
164318,183774,43,41,5.0,0.5,Eighth
183774,198622,43,50,5.5,0.5,Eighth
198622,228830,43,51,6.0,1.0,Quarter
228830,234462,43,39,7.0,0.25,Sixteenth
234462,239069,43,50,7.25,0.25,Sixteenth
239069,245214,43,51,7.5,0.25,Sixteenth
245214,254430,43,53,7.75,0.25,Sixteenth
254430,260061,43,55,8.0,0.25,Sixteenth
260061,267742,43,53,8.25,0.25,Sixteenth
267742,275422,43,55,8.5,0.25,Sixteenth
275422,281566,43,57,8.75,0.25,Sixteenth
281566,293342,43,58,9.0,0.5,Eighth
293342,308702,43,53,9.5,0.5,Eighth
308702,324062,43,55,10.0,0.5,Eighth
324062,337374,43,51,10.5,0.5,Eighth
337374,353758,43,48,11.0,0.5,Eighth
353758,372702,43,57,11.5,0.5,Eighth
372702,396254,43,58,12.0,1.0,Quarter
396254,418270,43,46,13.0,0.5,Eighth
418270,432094,43,44,13.5,0.5,Eighth
432094,443870,43,43,14.0,0.5,Eighth
443870,464350,43,51,14.5,0.5,Eighth
464350,477150,43,44,15.0,0.333333333333,Triplet
477150,489950,43,46,15.3333333333,0.333333333333,Triplet
489950,498654,43,48,15.6666666667,0.333333333333,Triplet
498654,505310,43,48,16.0,0.333333333333,Triplet
505310,515038,43,50,16.3333333333,0.333333333333,Triplet
515038,524254,43,51,16.6666666667,0.333333333333,Triplet
524254,536542,43,53,17.0,0.333333333333,Triplet
536542,551902,43,55,17.3333333333,0.333333333333,Triplet
551902,557022,43,56,17.6666666667,0.333333333333,Triplet
557022,568286,43,43,18.0,0.333333333333,Triplet
568286,575966,43,44,18.3333333333,0.333333333333,Triplet
575966,584670,43,46,18.6666666667,0.333333333333,Triplet
584670,594398,43,46,19.0,0.333333333333,Triplet
594398,603614,43,48,19.3333333333,0.333333333333,Triplet
603614,615390,43,50,19.6666666667,0.333333333333,Triplet
615390,626142,43,51,20.0,0.333333333333,Triplet
626142,632798,43,53,20.3333333333,0.333333333333,Triplet
632798,641502,43,55,20.6666666667,0.333333333333,Triplet
641502,656350,43,53,21.0,0.333333333333,Triplet
656350,667102,43,55,21.3333333333,0.333333333333,Triplet
667102,674782,43,56,21.6666666667,0.333333333333,Triplet
674782,681950,43,55,22.0,0.333333333333,Triplet
681950,691678,43,53,22.3333333333,0.333333333333,Triplet
691678,703966,43,51,22.6666666667,0.333333333333,Triplet
703966,712157,43,46,23.0,0.333333333333,Triplet
712157,725470,43,51,23.3333333333,0.333333333333,Triplet
725470,734686,43,50,23.6666666667,0.333333333333,Triplet
734686,768478,43,51,24.0,1.0,Quarter
768478,774622,43,39,25.0,0.25,Sixteenth
774622,780766,43,46,25.25,0.25,Sixteenth
780766,786910,43,48,25.5,0.25,Sixteenth
786910,796638,43,50,25.75,0.25,Sixteenth
796638,802270,43,51,26.0,0.25,Sixteenth
802270,808414,43,50,26.25,0.25,Sixteenth
808414,813534,43,51,26.5,0.25,Sixteenth
813534,821726,43,53,26.75,0.25,Sixteenth
821726,831966,43,55,27.0,0.5,Eighth
831966,847326,43,51,27.5,0.5,Eighth
847326,863197,43,55,28.0,0.5,Eighth
863197,878558,43,50,28.5,0.5,Eighth
878558,894430,43,48,29.0,0.5,Eighth
894430,907230,43,58,29.5,0.5,Eighth
907230,935390,43,57,30.0,1.0,Quarter
935390,942558,43,39,31.0,0.25,Sixteenth
942558,947678,43,48,31.25,0.25,Sixteenth
